primaryTitle,startYear,runtimeMinutes,genres,numVotes,averageRating,r1,r2
Zodiac,2007,157,"Crime,Drama,Mystery",612927,8,218,239
Hacksaw Ridge,2016,139,"Biography,Drama,History",611298,8,219,240
Harry Potter and the Deathly Hallows: Part 1,2010,146,"Adventure,Family,Fantasy",610757,8,220,241
A Quiet Place,2018,90,"Drama,Horror,Sci-Fi",607272,8,221,245
Bohemian Rhapsody,2018,134,"Biography,Drama,Music",605151,8,223,248
Shaun of the Dead,2004,99,"Comedy,Horror",603919,8,224,249
Ex Machina,2014,108,"Drama,Sci-Fi,Thriller",602971,8,225,250
Kick-Ass,2010,117,"Action,Comedy,Crime",600445,8,226,251
Despicable Me,2010,95,"Adventure,Animation,Comedy",595910,8,227,252
Green Book,2018,130,"Biography,Comedy,Drama",594420,8,228,253
Blood Diamond,2006,143,"Adventure,Drama,Thriller",594409,8,229,254
Minority Report,2002,145,"Action,Crime,Mystery",591562,8,230,255
The Bourne Identity,2002,119,"Action,Mystery,Thriller",584303,8,232,258
Rise of the Planet of the Apes,2011,105,"Action,Drama,Sci-Fi",583619,8,233,259
Back to the Future Part II,1989,108,"Adventure,Comedy,Sci-Fi",583303,8,234,261
Monty Python and the Holy Grail,1975,91,"Adventure,Comedy,Fantasy",576864,8,235,264
Casino,1995,178,"Crime,Drama",574320,8,236,267
The Pursuit of Happyness,2006,117,"Biography,Drama",572654,8,237,270
The Conjuring,2013,112,"Horror,Mystery,Thriller",567035,8,239,274
"Three Billboards Outside Ebbing, Missouri",2017,115,"Comedy,Crime,Drama",565030,8,240,275
Dead Poets Society,1989,128,"Comedy,Drama",561906,8,241,276
Zootopia,2016,108,"Action,Adventure,Animation",559668,8,242,278
Fury,2014,134,"Action,Drama,War",559580,8,243,279
Source Code,2011,93,"Action,Drama,Mystery",558063,8,244,280
The Perks of Being a Wallflower,2012,103,Drama,556775,8,245,281
Rain Man,1988,133,Drama,553692,8,246,283
Everything Everywhere All at Once,2022,139,"Action,Adventure,Comedy",552392,8,247,284
Hot Fuzz,2007,121,"Action,Comedy,Mystery",542801,8,248,293
Indiana Jones and the Temple of Doom,1984,118,"Action,Adventure",541873,8,249,294
Children of Men,2006,109,"Action,Drama,Sci-Fi",536911,8,250,298
Avengers: Infinity War,2018,149,"Action,Adventure,Sci-Fi",1235144,8,76,40
Iron Man,2008,126,"Action,Adventure,Sci-Fi",1144030,8,85,53
Mad Max: Fury Road,2015,120,"Action,Adventure,Sci-Fi",1132127,8,87,55
Jurassic Park,1993,127,"Action,Adventure,Sci-Fi",1087334,8,97,66
Star Wars: Episode VII - The Force Awakens,2015,138,"Action,Adventure,Sci-Fi",984575,8,103,75
The Terminator,1984,107,"Action,Adventure,Sci-Fi",940907,8,108,82
Captain America: The Winter Soldier,2014,136,"Action,Adventure,Sci-Fi",912442,8,112,89
Aliens,1986,137,"Action,Adventure,Sci-Fi",785272,8,151,140
X-Men: Days of Future Past,2014,132,"Action,Adventure,Sci-Fi",757908,8,154,146
Edge of Tomorrow,2014,113,"Action,Adventure,Sci-Fi",752010,8,156,150
The Hunger Games: Catching Fire,2013,146,"Action,Adventure,Sci-Fi",731827,8,168,166
Spider-Man 2,2004,127,"Action,Adventure,Sci-Fi",724066,8,173,173
Rogue One: A Star Wars Story,2016,133,"Action,Adventure,Sci-Fi",698605,8,182,187
Star Trek,2009,127,"Action,Adventure,Sci-Fi",624003,8,214,228
